Image loaded: 540x360
Detected edges: 4312 pixels
Generated 191 paths
Path 0: 18 points
Path 1: 20 points
Path 2: 19 points
Path 3: 21 points
Path 4: 1 points
Path 5: 2 points
Path 6: 2 points
Path 7: 1 points
Path 8: 2 points
Path 9: 1 points
Path 10: 3 points
Path 11: 1 points
Path 12: 4 points
Path 13: 1 points
Path 14: 1 points
Path 15: 1 points
Path 16: 1 points
Path 17: 2 points
Path 18: 1 points
Path 19: 1 points
Path 20: 1 points
Path 21: 1 points
Path 22: 2 points
Path 23: 1 points
Path 24: 1 points
Path 25: 1 points
Path 26: 1 points
Path 27: 1 points
Path 28: 1 points
Path 29: 18 points
Path 30: 1 points
Path 31: 1 points
Path 32: 18 points
Path 33: 17 points
Path 34: 17 points
Path 35: 1 points
Path 36: 1 points
Path 37: 1 points
Path 38: 1 points
Path 39: 1 points
Path 40: 1 points
Path 41: 1 points
Path 42: 1 points
Path 43: 1 points
Path 44: 1 points
Path 45: 1 points
Path 46: 1 points
Path 47: 5 points
Path 48: 1 points
Path 49: 1 points
Path 50: 1 points
Path 51: 3 points
Path 52: 1 points
Path 53: 4 points
Path 54: 1 points
Path 55: 2 points
Path 56: 1 points
Path 57: 20 points
Path 58: 22 points
Path 59: 36 points
Path 60: 1 points
Path 61: 19 points
Path 62: 23 points
Path 63: 40 points
Path 64: 4 points
Path 65: 16 points
Path 66: 23 points
Path 67: 2 points
Path 68: 16 points
Path 69: 20 points
Path 70: 40 points
Path 71: 2 points
Path 72: 3 points
Path 73: 1 points
Path 74: 1 points
Path 75: 2 points
Path 76: 1 points
Path 77: 1 points
Path 78: 4 points
Path 79: 1 points
Path 80: 3 points
Path 81: 3 points
Path 82: 1 points
Path 83: 2 points
Path 84: 1 points
Path 85: 2 points
Path 86: 4 points
Path 87: 1 points
Path 88: 1 points
Path 89: 1 points
Path 90: 1 points
Path 91: 1 points
Path 92: 1 points
Path 93: 2 points
Path 94: 1 points
Path 95: 2 points
Path 96: 1 points
Path 97: 1 points
Path 98: 2 points
Path 99: 1 points
Path 100: 1 points
Path 101: 1 points
Path 102: 1 points
Path 103: 1 points
Path 104: 1 points
Path 105: 1 points
Path 106: 1 points
Path 107: 1 points
Path 108: 1 points
Path 109: 1 points
Path 110: 1 points
Path 111: 1 points
Path 112: 1 points
Path 113: 1 points
Path 114: 1 points
Path 115: 1 points
Path 116: 1 points
Path 117: 1 points
Path 118: 1 points
Path 119: 1 points
Path 120: 1 points
Path 121: 1 points
Path 122: 1 points
Path 123: 1 points
Path 124: 1 points
Path 125: 1 points
Path 126: 1 points
Path 127: 1 points
Path 128: 1 points
Path 129: 1 points
Path 130: 1 points
Path 131: 18 points
Path 132: 18 points
Path 133: 18 points
Path 134: 18 points
Path 135: 18 points
Path 136: 18 points
Path 137: 18 points
Path 138: 18 points
Path 139: 1 points
Path 140: 1 points
Path 141: 1 points
Path 142: 1 points
Path 143: 1 points
Path 144: 1 points
Path 145: 2 points
Path 146: 1 points
Path 147: 1 points
Path 148: 1 points
Path 149: 1 points
Path 150: 1 points
Path 151: 1 points
Path 152: 1 points
Path 153: 1 points
Path 154: 1 points
Path 155: 1 points
Path 156: 1 points
Path 157: 1 points
Path 158: 1 points
Path 159: 1 points
Path 160: 1 points
Path 161: 1 points
Path 162: 1 points
Path 163: 1 points
Path 164: 1 points
Path 165: 1 points
Path 166: 44 points
Path 167: 1 points
Path 168: 44 points
Path 169: 1 points
Path 170: 1 points
Path 171: 4 points
Path 172: 3 points
Path 173: 1 points
Path 174: 1 points
Path 175: 2 points
Path 176: 42 points
Path 177: 2 points
Path 178: 2 points
Path 179: 40 points
Path 180: 3 points
Path 181: 3 points
Path 182: 5 points
Path 183: 5 points
Path 184: 40 points
Path 185: 41 points
Path 186: 1 points
Path 187: 1 points
Path 188: 2 points
Path 189: 1 points
Path 190: 1 points
